dataset_name,run_label,method_family,coverage_target,budget,n_cells,n_attained,attainment_rate,mean_frontier_set_size,se_frontier_set_size,ci95_low_frontier_set_size,ci95_high_frontier_set_size,mean_coverage,mean_point_risk
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.8,60,10,10,1.0,1.3783333333333332,0.02814205587091985,1.3231749038263303,1.433491762840336,0.8533333333333333,0.3183333333333333
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.8,80,10,10,1.0,1.251,0.03833912999650473,1.1758553052068506,1.3261446947931492,0.834,0.2909999999999999
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.8,100,10,9,0.9,1.265277777777778,0.035829564831984524,1.1950518307070883,1.3355037248484676,0.8430555555555554,0.2944444444444444
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.8,120,10,10,1.0,1.2266666666666666,0.0317396819046349,1.1644568901335821,1.288876443199751,0.8316666666666667,0.2733333333333333
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.8,140,10,10,1.0,1.24,0.04365266951236266,1.154440767755769,1.325559232244231,0.8324999999999999,0.275
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.9,40,10,10,1.0,1.6528571428571428,0.03895168237818108,1.576511845395908,1.7292024403183777,0.9271428571428573,0.3521428571428571
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.9,60,10,10,1.0,1.7574999999999998,0.028011516591009422,1.7025974274816214,1.8124025725183783,0.9608333333333332,0.29833333333333334
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.9,80,10,10,1.0,1.543,0.03809491071287899,1.468333975002757,1.6176660249972428,0.9119999999999999,0.29400000000000004
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.9,100,10,10,1.0,1.59375,0.03737246832748525,1.520499962078129,1.667000037921871,0.915,0.3062499999999999
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.9,120,10,9,0.9,1.511111111111111,0.044444444444444446,1.424,1.5982222222222222,0.9166666666666665,0.28333333333333327
Fair affairs,minimax_fair_schema_budgetgrid,reference,0.9,140,10,10,1.0,1.56,0.040688518719112346,1.4802505033105398,1.6397494966894604,0.925,0.295
